Deutsches Wort,Übersetzung
grün,green
jährlich,yearly
finanziell,financially
besten,best
hochwertig,high-quality
digital,digital
vollständig,Completely
weiß,White
umfangreich,extensive
kommend,coming
schwierig,difficult
nötig,necessary
erneut,again
anschließend,afterward
tätig,employed
gewiss,certainly
links,Left
zuständig,responsible
wahr,true
beruflich,professional
medizinisch,medical
ausreichend,sufficient
recht,Law
regional,regional
schwarz,black
menschlich,human
teuer,expensive
ideal,ideal
offiziell,officially
schriftlich,in written form
entscheidend,decisive
zunehmend,increasingly
langsam,slow
lieb,Dear
national,national
verantwortlich,responsible
unmittelbar,right away
relativ,relative
bereit,ready
rechtlich,legally
gesellschaftlich,socially
attraktiv,attractive
fertig,done
kulturell,cultural
traditionell,traditionally
innovativ,innovative
hervorragend,outstanding
einzigartig,unique
erheblich,substantially
warm,warm
typisch,typical
heilig,holy
super,Super
zukünftig,future
verfügbar,available
reich,rich
inner,within
halb,half
staatlich,state
ursprünglich,originally
divers,miscellaneous
evangelisch,Protestant
lokal,local
künftig,future
ausführlich,detailed
sein,be
werden,will
haben,to have
können,can
geben,give
sollen,should
müssen,have to
finden,Find
machen,do
kommen,come
gehen,walk
lassen,permit
stehen,stand
wollen,want
sehen,see
bieten,Offer
stellen,place
mögen,to like
liegen,lie
nehmen,to take
sagen,to say
führen,to lead
zeigen,demonstrate
erhalten,obtain
bleiben,stay
dürfen,to be allowed to
bringen,bring
wissen,to know
gelten,are valid
setzen,set
halten,keep
nutzen,to use
tun,to do
bekommen,receive
gehören,belong
bestehen,exist
arbeiten,work
schreiben,to write
erreichen,reach
suchen,Looking for
spielen,to play
entwickeln,to develop
beginnen,kick off
lesen,read
helfen,help
unterstützen,support
sprechen,speak
brauchen,to need
schaffen,create
entstehen,develop
kennen,know
leben,Life
heißen,mean
tragen,wear
lernen,to learn
freuen,be happy
verwenden,use
erfolgen,take place
befinden,are located
handeln,Act
verstehen,to understand
ziehen,draw
denken,think
legen,place
erklären,explain
entscheiden,decide
sorgen,care for
treffen,meet
nennen,to name
ermöglichen,enable
folgen,follow
anbieten,to offer
fallen,fall
erscheinen,appear
laufen,to run
fahren,travel
übernehmen,take over
versuchen,try
fragen,ask
erkennen,recognize
erleben,experience
gewinnen,to win
informieren,inform
wählen,Select
bedeuten,mean
erfahren,Experienced
kaufen,to buy
enthalten,contain
einsetzen,insert
bilden,form
verbinden,associate
benötigen,require
dienen,to serve
glauben,believe
vorstellen,introduce
fördern,support financially
erwarten,expect
empfehlen,recommend
wirken,works
scheinen,seem
meinen,say
gestalten,design
erstellen,create
berichten,to report
besuchen,to visit
treten,step
präsentieren,present
laden,load
starten,start
hören,hear
fühlen,feel
ändern,change
wünschen,wish
schließen,conclude
zählen,counting
darstellen,represent
entdecken,discover
verfügen,feature
genießen,enjoy
fordern,demand
veröffentlichen,publish
durchführen,carry out
verlieren,lose
bauen,build
aufnehmen,take up
gelingen,succeed
beschäftigen,employ
funktionieren,function
schauen,look
leisten,Afford
beschreiben,describe
ergeben,result
öffnen,to open
reichen,are sufficient
richten,judge
liefern,deliver
eignen,are
planen,to plan
fehlen,miss
steigen,rise
erzählen,tell
schützen,protection
passen,fit
erfüllen,fulfill
vermitteln,convey
feiern,celebrate
bezeichnen,describe
besitzen,own
beachten,note
warten,wait
bestimmen,determine
entsprechen,correspond
verändern,change
begleiten,accompany
rufen,call
gründen,establish
erinnern,recall
bestellen,order
bitten,ask
passieren,happen
verbessern,to enhance
beziehen,relate
umsetzen,realize
sitzen,sit
hoffen,hope
zahlen,counting
betreffen,affect
wachsen,grow
benutzen,use
überzeugen,to convince
teilen,share
verkaufen,Selling
achten,"respect, think highly of"
betragen,be
geschehen,happen
lösen,to solve
lieben,love
sichern,to back up
bewegen,move
vertreten,represent
behandeln,treat
erhöhen,raise
kosten,costs
melden,Report
sparen,save
diskutieren,to discuss
entfernen,remove
verlassen,leaving
betreiben,operate
anzeigen,Show
aufbauen,build up
klicken,click
stattfinden,occur
bestätigen,confirm
sammeln,collect
erlauben,allow
herstellen,produce
weisen,point
schlagen,beat
vergessen,forget
auch,even
so,so
nur,only
noch,still
dann,then
hier,here
schon,beautiful
aber,but
sehr,very
immer,always
wieder,again
mehr,more
ganz,quite
nun,well
selbst,self
heute,today
bereits,already
mal,times
da,there
also,so
jetzt,now
doch,but
jedoch,However
dort,there
einmal,once
natürlich,Naturally
einfach,simple
besonders,particularly
erst,first
gerade,just
weiter,Further
allerdings,Indeed
oft,often
etwa,approximately
sogar,even
fast,nearly
zwar,though
gerne,gladly
viel,much
wohl,well
etwas,some
vielleicht,perhaps
gar,at all
eigentlich,actually
je,ever
leider,Unfortunately
ebenfalls,Likewise
gleich,same
bitte,You're welcome
somit,Consequently
insbesondere,in particular
eher,rather
kaum,barely
ebenso,as well
über,above
nie,never
insgesamt,all in all
bisher,until now
zusammen,together
sofort,immediately
meist,most of time
beispielsweise,for example
zunächst,first
eben,just
schließlich,in the end
anders,different
endlich,at last
jeweils,respectively
lange,Long
allein,alone
hin,there
überhaupt,at all
oben,above
denn,because
weiterhin,Farther
mindestens,at least
zu,to
derzeit,currently
nämlich,namely
dennoch,yet
sonst,otherwise
etc,Etc
mittlerweile,in the meantime
zumindest,at least
damals,back then
inzwischen,in the meantime
manchmal,sometimes
bald,soon
möglichst,preferably
lediglich,only
nach,after
links,Left
bis,until
online,on-line
selber,himself
durchaus,absolutely
weniger,fewer
teilweise,partially
ausschließlich,exclusively
gern,gladly
übrigens,by the way
stets,always
vorher,before
innen,Inside
gestern,yesterday
ab,away
unterwegs,On the way
ziemlich,quite
zuletzt,last
genug,enough
genauso,just like that
jederzeit,at any time
unten,below
unbedingt,necessarily
zuvor,before
sicherlich,surely
erstmals,for the first time
usw.,etc.
überall,all over
zugleich,simultaneously
rechts,to the right
zuerst,first
zurück,return
lieber,rather
mit,with
irgendwie,somehow
sicher,for sure
miteinander,together
recht,Law
alleine,alone
bislang,so far
jedenfalls,in any case
hingegen,on the other hand
wiederum,in turn
morgen,morning
vielmehr,much more
längst,a long time ago
meistens,usually
nahezu,nearly
diesmal,this time
immerhin,anyway
oftmals,often
vor,before
soweit,so far
ansonsten,otherwise
egal,no matter
hierbei,in this connection
irgendwann,Sometime
äußerst,extremely
andererseits,on the other hand
vermutlich,allegedly
außen,Outside
entweder,either
wenig,little
spätestens,at the latest
einerseits,on the one hand
mitten,in the middle
vorbei,past
letztlich,ultimately
halt,stop
desto,more
nochmal,once again
umso,more
niemals,No way
möglicherweise,possibly
nochmals,again
weg,path
vorne,in front
wenigstens,at least
draußen,outdoors
erstmal,for now
abends,in the evening
später,later
her,here
heutzutage,these days
bestens,very well
genau,precisely
normalerweise,normally
quasi,so to say
ohnehin,anyway
irgendwo,somewhere
einst,once
morgens,In the morning
hinten,rear
anschließend,afterward
sowieso,anyway
früher,previously
extra,extra
kürzlich,recently
selbstverständlich,Of course
ferner,further
unter,under
zuhause,At home
zweimal,twice
teils,part
nunmehr,now
anfangs,at first
außerdem,aside from that
insofern,insofar
vorab,in advance
